
Cycle,Step,Voltage_V,Current_A,Capacity_Ah,Temperature_C,Time_s,Internal_Resistance_mOhm,Energy_Wh
1,37,4.062,-0.500,0.528,30.0,6000,18.4,2.143
1,38,4.034,-0.500,0.503,29.8,6180,18.5,2.029
1,39,4.006,-0.500,0.478,29.6,6360,18.6,1.916
1,40,3.978,-0.500,0.453,29.4,6540,18.7,1.805
1,41,3.950,-0.500,0.428,29.2,6720,18.8,1.696
1,42,3.922,-0.500,0.403,29.0,6900,18.9,1.588
1,43,3.894,-0.500,0.378,28.8,7080,19.0,1.472
1,44,3.866,-0.500,0.353,28.6,7260,19.1,1.365
1,45,3.838,-0.500,0.328,28.4,7440,19.2,1.259
1,46,3.810,-0.500,0.303,28.2,7620,19.3,1.154
1,47,3.782,-0.500,0.278,28.0,7800,19.4,1.051
1,48,3.754,-0.500,0.253,27.8,7980,19.5,0.949
1,49,3.726,-0.500,0.228,27.6,8160,19.6,0.849
1,50,3.698,-0.500,0.203,27.4,8340,19.7,0.750
1,51,3.670,-0.500,0.178,27.2,8520,19.8,0.652
1,52,3.642,-0.500,0.153,27.0,8700,19.9,0.556
1,53,3.614,-0.500,0.128,26.8,8880,20.0,0.461
1,54,3.586,-0.500,0.103,26.6,9060,20.1,0.368
1,55,3.558,-0.500,0.078,26.4,9240,20.2,0.276
1,56,3.530,-0.500,0.053,26.2,9420,20.3,0.186
1,57,3.502,-0.500,0.028,26.0,9600,20.4,0.097
1,58,3.474,-0.500,0.003,25.8,9780,20.5,0.010
1,59,3.200,0.000,0.000,25.6,9840,20.6,0.000
2,1,3.200,0.500,0.000,25.3,9900,15.3,0.000
2,2,3.243,0.500,0.025,25.5,10080,15.4,0.081
2,3,3.286,0.500,0.050,25.7,10260,15.5,0.164
2,4,3.328,0.500,0.075,25.9,10440,15.6,0.249
2,5,3.369,0.500,0.100,26.1,10620,15.7,0.337
2,6,3.409,0.500,0.125,26.3,10800,15.8,0.426
2,7,3.448,0.500,0.150,26.5,10980,15.9,0.517
2,8,3.486,0.500,0.175,26.7,11160,16.0,0.610
2,9,3.523,0.500,0.200,26.9,11340,16.1,0.705
2,10,3.559,0.500,0.225,27.1,11520,16.2,0.801
2,11,3.594,0.500,0.250,27.3,11700,16.3,0.899
2,12,3.628,0.500,0.275,27.5,11880,16.4,0.998
2,13,3.661,0.500,0.300,27.7,12060,16.5,1.098
2,14,3.693,0.500,0.325,27.9,12240,16.6,1.200
2,15,3.724,0.500,0.350,28.1,12420,16.7,1.303
2,16,3.754,0.500,0.375,28.3,12600,16.8,1.408
2,17,3.783,0.500,0.400,28.5,12780,16.9,1.513
2,18,3.811,0.500,0.425,28.7,12960,17.0,1.620
2,19,3.838,0.500,0.450,28.9,13140,17.1,1.727
2,20,3.864,0.500,0.475,29.1,13320,17.2,1.836
2,21,3.889,0.500,0.500,29.3,13500,17.3,1.945
2,22,3.913,0.450,0.517,29.5,13680,17.4,2.025
2,23,3.936,0.400,0.531,29.7,13860,17.5,2.091
2,24,3.958,0.350,0.543,29.9,14040,17.6,2.150
2,25,3.979,0.300,0.553,30.1,14220,17.7,2.202
2,26,3.999,0.250,0.561,30.3,14400,17.8,2.246
2,27,4.018,0.200,0.567,30.5,14580,17.9,2.283
2,28,4.036,0.150,0.571,30.7,14760,18.0,2.312
2,29,4.053,0.100,0.574,30.9,14940,18.1,2.333
2,30,4.069,0.050,0.576,31.1,15120,18.2,2.346
2,31,4.084,0.000,0.577,31.3,15300,18.3,2.351
2,32,4.079,0.000,0.577,31.1,15360,18.3,2.351
2,33,4.074,0.000,0.577,30.9,15420,18.3,2.351
2,34,4.069,0.000,0.577,30.7,15480,18.3,2.351
2,35,4.064,0.000,0.577,30.5,15540,18.3,2.351
2,36,4.059,-0.500,0.552,30.3,15720,18.4,2.243
2,37,4.031,-0.500,0.527,30.1,15900,18.5,2.126
2,38,4.003,-0.500,0.502,29.9,16080,18.6,2.011
2,39,3.975,-0.500,0.477,29.7,16260,18.7,1.898
2,40,3.947,-0.500,0.452,29.5,16440,18.8,1.786
2,41,3.919,-0.500,0.427,29.3,16620,18.9,1.676
2,42,3.891,-0.500,0.402,29.1,16800,19.0,1.567
2,43,3.863,-0.500,0.377,28.9,16980,19.1,1.459
2,44,3.835,-0.500,0.352,28.7,17160,19.2,1.353
2,45,3.807,-0.500,0.327,28.5,17340,19.3,1.248
2,46,3.779,-0.500,0.302,28.3,17520,19.4,1.144
2,47,3.751,-0.500,0.277,28.1,17700,19.5,1.042
2,48,3.723,-0.500,0.252,27.9,17880,19.6,0.941
2,49,3.695,-0.500,0.227,27.7,18060,19.7,0.842
2,50,3.667,-0.500,0.202,27.5,18240,19.8,0.744
2,51,3.639,-0.500,0.177,27.3,18420,19.9,0.647
2,52,3.611,-0.500,0.152,27.1,18600,20.0,0.552
2,53,3.583,-0.500,0.127,26.9,18780,20.1,0.458
2,54,3.555,-0.500,0.102,26.7,18960,20.2,0.365
2,55,3.527,-0.500,0.077,26.5,19140,20.3,0.274
2,56,3.499,-0.500,0.052,26.3,19320,20.4,0.184
2,57,3.471,-0.500,0.027,26.1,19500,20.5,0.095
2,58,3.443,-0.500,0.002,25.9,19680,20.6,0.007
2,59,3.200,0.000,0.000,25.7,19740,20.7,0.000
3,1,3.200,0.500,0.000,25.4,19800,15.4,0.000
3,2,3.241,0.500,0.025,25.6,19980,15.5,0.081
3,3,3.282,0.500,0.050,25.8,20160,15.6,0.164
3,4,3.322,0.500,0.075,26.0,20340,15.7,0.249
3,5,3.361,0.500,0.100,26.2,20520,15.8,0.336
3,6,3.400,0.500,0.125,26.4,20700,15.9,0.425
3,7,3.437,0.500,0.150,26.6,20880,16.0,0.516
3,8,3.474,0.500,0.175,26.8,21060,16.1,0.608
3,9,3.510,0.500,0.200,27.0,21240,16.2,0.702
3,10,3.545,0.500,0.225,27.2,21420,16.3,0.798
3,11,3.579,0.500,0.250,27.4,21600,16.4,0.895
3,12,3.612,0.500,0.275,27.6,21780,16.5,0.993
3,13,3.644,0.500,0.300,27.8,21960,16.6,1.093
3,14,3.675,0.500,0.325,28.0,22140,16.7,1.194
3,15,3.705,0.500,0.350,28.2,22320,16.8,1.297
3,16,3.734,0.500,0.375,28.4,22500,16.9,1.400
3,17,3.762,0.500,0.400,28.6,22680,17.0,1.505
3,18,3.789,0.500,0.425,28.8,22860,17.1,1.610
3,19,3.815,0.500,0.450,29.0,23040,17.2,1.717
3,20,3.840,0.500,0.475,29.2,23220,17.3,1.824
3,21,3.864,0.500,0.500,29.4,23400,17.4,1.932
3,22,3.887,0.450,0.516,29.6,23580,17.5,2.006
3,23,3.909,0.400,0.530,29.8,23760,17.6,2.071
3,24,3.930,0.350,0.542,30.0,23940,17.7,2.128
3,25,3.950,0.300,0.552,30.2,24120,17.8,2.178
3,26,3.969,0.250,0.560,30.4,24300,17.9,2.220
3,27,3.987,0.200,0.566,30.6,24480,18.0,2.255
3,28,4.004,0.150,0.570,30.8,24660,18.1,2.282
3,29,4.020,0.100,0.573,31.0,24840,18.2,2.302
3,30,4.035,0.050,0.575,31.2,25020,18.3,2.314
3,31,4.049,0.000,0.576,31.4,25200,18.4,2.318
3,32,4.044,0.000,0.576,31.2,25260,18.4,2.318
3,33,4.039,0.000,0.576,31.0,25320,18.4,2.318
3,34,4.034,0.000,0.576,30.8,25380,18.4,2.318
3,35,4.029,0.000,0.576,30.6,25440,18.4,2.318
3,36,4.024,-0.500,0.551,30.4,25620,18.5,2.216
3,37,3.996,-0.500,0.526,30.2,25800,18.6,2.104
3,38,3.968,-0.500,0.501,30.0,25980,18.7,1.992
3,39,3.940,-0.500,0.476,29.8,26160,18.8,1.881
3,40,3.912,-0.500,0.451,29.6,26340,18.9,1.772
3,41,3.884,-0.500,0.426,29.4,26520,19.0,1.663
3,42,3.856,-0.500,0.401,29.2,26700,19.1,1.556
3,43,3.828,-0.500,0.376,29.0,26880,19.2,1.449
3,44,3.800,-0.500,0.351,28.8,27060,19.3,1.344
3,45,3.772,-0.500,0.326,28.6,27240,19.4,1.240
3,46,3.744,-0.500,0.301,28.4,27420,19.5,1.137
3,47,3.716,-0.500,0.276,28.2,27600,19.6,1.035
3,48,3.688,-0.500,0.251,28.0,27780,19.7,0.934
3,49,3.660,-0.500,0.226,27.8,27960,19.8,0.835
3,50,3.632,-0.500,0.201,27.6,28140,19.9,0.736
3,51,3.604,-0.500,0.176,27.4,28320,20.0,0.639
3,52,3.576,-0.500,0.151,27.2,28500,20.1,0.543
3,53,3.548,-0.500,0.126,27.0,28680,20.2,0.448
3,54,3.520,-0.500,0.101,26.8,28860,20.3,0.355
3,55,3.492,-0.500,0.076,26.6,29040,20.4,0.263
3,56,3.464,-0.500,0.051,26.4,29220,20.5,0.172
3,57,3.436,-0.500,0.026,26.2,29400,20.6,0.082
3,58,3.408,-0.500,0.001,26.0,29580,20.7,0.003
3,59,3.200,0.000,0.000,25.8,29640,20.8,0.000
4,1,3.200,0.500,0.000,25.5,29700,15.5,0.000
4,2,3.239,0.500,0.025,25.7,29880,15.6,0.081
4,3,3.278,0.500,0.050,25.9,30060,15.7,0.164
4,4,3.316,0.500,0.075,26.1,30240,15.8,0.249
4,5,3.354,0.500,0.100,26.3,30420,15.9,0.335
4,6,3.391,0.500,0.125,26.5,30600,16.0,0.424
4,7,3.427,0.500,0.150,26.7,30780,16.1,0.514
4,8,3.462,0.500,0.175,26.9,30960,16.2,0.606
4,9,3.497,0.500,0.200,27.1,31140,16.3,0.699
4,10,3.531,0.500,0.225,27.3,31320,16.4,0.794
4,11,3.564,0.500,0.250,27.5,31500,16.5,0.891
4,12,3.596,0.500,0.275,27.7,31680,16.6,0.989
4,13,3.627,0.500,0.300,27.9,31860,16.7,1.088
4,14,3.657,0.500,0.325,28.1,32040,16.8,1.189
4,15,3.686,0.500,0.350,28.3,32220,16.9,1.290
4,16,3.714,0.500,0.375,28.5,32400,17.0,1.393
4,17,3.741,0.500,0.400,28.7,32580,17.1,1.496
4,18,3.767,0.500,0.425,28.9,32760,17.2,1.601
4,19,3.792,0.500,0.450,29.1,32940,17.3,1.706
4,20,3.816,0.500,0.475,29.3,33120,17.4,1.813
4,21,3.839,0.500,0.500,29.5,33300,17.5,1.920
4,22,3.861,0.450,0.515,29.7,33480,17.6,1.989
4,23,3.882,0.400,0.529,29.9,33660,17.7,2.052
4,24,3.902,0.350,0.541,30.1,33840,17.8,2.108
4,25,3.921,0.300,0.551,30.3,34020,17.9,2.157
4,26,3.939,0.250,0.559,30.5,34200,18.0,2.198
4,27,3.956,0.200,0.565,30.7,34380,18.1,2.232
4,28,3.972,0.150,0.569,30.9,34560,18.2,2.258
4,29,3.987,0.100,0.572,31.1,34740,18.3,2.277
4,30,4.001,0.050,0.574,31.3,34920,18.4,2.289
4,31,4.014,0.000,0.575,31.5,35100,18.5,2.293
4,32,4.009,0.000,0.575,31.3,35160,18.5,2.293
4,33,4.004,0.000,0.575,31.1,35220,18.5,2.293
4,34,3.999,0.000,0.575,30.9,35280,18.5,2.293
4,35,3.994,0.000,0.575,30.7,35340,18.5,2.293
4,36,3.989,-0.500,0.550,30.5,35520,18.6,2.195
4,37,3.961,-0.500,0.525,30.3,35700,18.7,2.080
4,38,3.933,-0.500,0.500,30.1,35880,18.8,1.966
4,39,3.905,-0.500,0.475,29.9,36060,18.9,1.854
4,40,3.877,-0.500,0.450,29.7,36240,19.0,1.743
4,41,3.849,-0.500,0.425,29.5,36420,19.1,1.633
4,42,3.821,-0.500,0.400,29.3,36600,19.2,1.524
4,43,3.793,-0.500,0.375,29.1,36780,19.3,1.417
4,44,3.765,-0.500,0.350,28.9,36960,19.4,1.311
4,45,3.737,-0.500,0.325,28.7,37140,19.5,1.206
4,46,3.709,-0.500,0.300,28.5,37320,19.6,1.102
4,47,3.681,-0.500,0.275,28.3,37500,19.7,1.000
4,48,3.653,-0.500,0.250,28.1,37680,19.8,0.899
4,49,3.625,-0.500,0.225,27.9,37860,19.9,0.799
4,50,3.597,-0.500,0.200,27.7,38040,20.0,0.700
4,51,3.569,-0.500,0.175,27.5,38220,20.1,0.603
4,52,3.541,-0.500,0.150,27.3,38400,20.2,0.507
4,53,3.513,-0.500,0.125,27.1,38580,20.3,0.412
4,54,3.485,-0.500,0.100,26.9,38760,20.4,0.319
4,55,3.457,-0.500,0.075,26.7,38940,20.5,0.227
4,56,3.429,-0.500,0.050,26.5,39120,20.6,0.136
4,57,3.401,-0.500,0.025,26.3,39300,20.7,0.047
4,58,3.373,-0.500,0.000,26.1,39480,20.8,0.000
4,59,3.200,0.000,0.000,25.9,39540,20.9,0.000
5,1,3.200,0.500,0.000,25.6,39600,15.6,0.000
5,2,3.237,0.500,0.025,25.8,39780,15.7,0.081
5,3,3.274,0.500,0.050,26.0,39960,15.8,0.164
5,4,3.310,0.500,0.075,26.2,40140,15.9,0.248
5,5,3.346,0.500,0.100,26.4,40320,16.0,0.335
5,6,3.381,0.500,0.125,26.6,40500,16.1,0.423
5,7,3.416,0.500,0.150,26.8,40680,16.2,0.512
5,8,3.450,0.500,0.175,27.0,40860,16.3,0.603
5,9,3.483,0.500,0.200,27.2,41040,16.4,0.696
5,10,3.516,0.500,0.225,27.4,41220,16.5,0.791
5,11,3.548,0.500,0.250,27.6,41400,16.6,0.887
5,12,3.579,0.500,0.275,27.8,41580,16.7,0.984
5,13,3.609,0.500,0.300,28.0,41760,16.8,1.083
5,14,3.638,0.500,0.325,28.2,41940,16.9,1.182
5,15,3.666,0.500,0.350,28.4,42120,17.0,1.283
5,16,3.693,0.500,0.375,28.6,42300,17.1,1.385
5,17,3.719,0.500,0.400,28.8,42480,17.2,1.488
5,18,3.744,0.500,0.425,29.0,42660,17.3,1.591
5,19,3.768,0.500,0.450,29.2,42840,17.4,1.696
5,20,3.791,0.500,0.475,29.4,43020,17.5,1.801
5,21,3.813,0.500,0.500,29.6,43200,17.6,1.907
5,22,3.834,0.450,0.514,29.8,43380,17.7,1.970
5,23,3.854,0.400,0.528,30.0,43560,17.8,2.031
5,24,3.873,0.350,0.540,30.2,43740,17.9,2.085
5,25,3.891,0.300,0.550,30.4,43920,18.0,2.133
5,26,3.908,0.250,0.558,30.6,44100,18.1,2.173
5,27,3.924,0.200,0.564,30.8,44280,18.2,2.206
5,28,3.939,0.150,0.568,31.0,44460,18.3,2.232
5,29,3.953,0.100,0.571,31.2,44640,18.4,2.250
5,30,3.966,0.050,0.573,31.4,44820,18.5,2.261
5,31,3.978,0.000,0.574,31.6,45000,18.6,2.265
5,32,3.973,0.000,0.574,31.4,45060,18.6,2.265
5,33,3.968,0.000,0.574,31.2,45120,18.6,2.265
5,34,3.963,0.000,0.574,31.0,45180,18.6,2.265
5,35,3.958,0.000,0.574,30.8,45240,18.6,2.265
5,36,3.953,-0.500,0.549,30.6,45420,18.7,2.172
5,37,3.925,-0.500,0.524,30.4,45600,18.8,2.056
5,38,3.897,-0.500,0.499,30.2,45780,18.9,1.941
5,39,3.869,-0.500,0.474,30.0,45960,19.0,1.829
5,40,3.841,-0.500,0.449,29.8,46140,19.1,1.718
5,41,3.813,-0.500,0.424,29.6,46320,19.2,1.608
5,42,3.785,-0.500,0.399,29.4,46500,19.3,1.499
5,43,3.757,-0.500,0.374,29.2,46680,19.4,1.392
5,44,3.729,-0.500,0.349,29.0,46860,19.5,1.286
5,45,3.701,-0.500,0.324,28.8,47040,19.6,1.181
5,46,3.673,-0.500,0.299,28.6,47220,19.7,1.078
5,47,3.645,-0.500,0.274,28.4,47400,19.8,0.976
5,48,3.617,-0.500,0.249,28.2,47580,19.9,0.875
5,49,3.589,-0.500,0.224,28.0,47760,20.0,0.775
5,50,3.561,-0.500,0.199,27.8,47940,20.1,0.677
5,51,3.533,-0.500,0.174,27.6,48120,20.2,0.580
5,52,3.505,-0.500,0.149,27.4,48300,20.3,0.484
5,53,3.477,-0.500,0.124,27.2,48480,20.4,0.390
5,54,3.449,-0.500,0.099,27.0,48660,20.5,0.297
5,55,3.421,-0.500,0.074,26.8,48840,20.6,0.206
5,56,3.393,-0.500,0.049,26.6,49020,20.7,0.116
5,57,3.365,-0.500,0.024,26.4,49200,20.8,0.027
5,58,3.337,-0.500,0.000,26.2,49380,20.9,0.000
5,59,3.200,0.000,0.000,26.0,49440,21.0,0.000
6,1,3.200,0.500,0.000,25.7,49500,15.7,0.000
6,2,3.235,0.500,0.025,25.9,49680,15.8,0.081
6,3,3.270,0.500,0.050,26.1,49860,15.9,0.164
6,4,3.304,0.500,0.075,26.3,50040,16.0,0.248
6,5,3.338,0.500,0.100,26.5,50220,16.1,0.334
6,6,3.371,0.500,0.125,26.7,50400,16.2,0.422
6,7,3.404,0.500,0.150,26.9,50580,16.3,0.511
6,8,3.436,0.500,0.175,27.1,50760,16.4,0.602
6,9,3.468,0.500,0.200,27.3,50940,16.5,0.694
6,10,3.499,0.500,0.225,27.5,51120,16.6,0.788
6,11,3.530,0.500,0.250,27.7,51300,16.7,0.883
6,12,3.560,0.500,0.275,27.9,51480,16.8,0.979
6,13,3.589,0.500,0.300,28.1,51660,16.9,1.077
6,14,3.617,0.500,0.325,28.3,51840,17.0,1.175
6,15,3.644,0.500,0.350,28.5,52020,17.1,1.275
6,16,3.670,0.500,0.375,28.7,52200,17.2,1.376
6,17,3.695,0.500,0.400,28.9,52380,17.3,1.478
6,18,3.719,0.500,0.425,29.1,52560,17.4,1.580
6,19,3.742,0.500,0.450,29.3,52740,17.5,1.684
6,20,3.764,0.500,0.475,29.5,52920,17.6,1.788
6,21,3.785,0.500,0.500,29.7,53100,17.7,1.892
6,22,3.805,0.450,0.513,29.9,53280,17.8,1.951
6,23,3.824,0.400,0.526,30.1,53460,17.9,2.009
6,24,3.842,0.350,0.538,30.3,53640,18.0,2.062
6,25,3.859,0.300,0.548,30.5,53820,18.1,2.108
6,26,3.875,0.250,0.556,30.7,54000,18.2,2.147
6,27,3.890,0.200,0.562,30.9,54180,18.3,2.179
6,28,3.904,0.150,0.566,31.1,54360,18.4,2.204
6,29,3.917,0.100,0.569,31.3,54540,18.5,2.222
6,30,3.929,0.050,0.571,31.5,54720,18.6,2.233
6,31,3.940,0.000,0.572,31.7,54900,18.7,2.236
6,32,3.935,0.000,0.572,31.5,54960,18.7,2.236
6,33,3.930,0.000,0.572,31.3,55020,18.7,2.236
6,34,3.925,0.000,0.572,31.1,55080,18.7,2.236
6,35,3.920,0.000,0.572,30.9,55140,18.7,2.236
6,36,3.915,-0.500,0.547,30.7,55320,18.8,2.142
6,37,3.887,-0.500,0.522,30.5,55500,18.9,2.030
6,38,3.859,-0.500,0.497,30.3,55680,19.0,1.918
6,39,3.831,-0.500,0.472,30.1,55860,19.1,1.808
6,40,3.803,-0.500,0.447,29.9,56040,19.2,1.700
6,41,3.775,-0.500,0.422,29.7,56220,19.3,1.593
6,42,3.747,-0.500,0.397,29.5,56400,19.4,1.487
6,43,3.719,-0.500,0.372,29.3,56580,19.5,1.383
6,44,3.691,-0.500,0.347,29.1,56760,19.6,1.280
6,45,3.663,-0.500,0.322,28.9,56940,19.7,1.178
6,46,3.635,-0.500,0.297,28.7,57120,19.8,1.078
6,47,3.607,-0.500,0.272,28.5,57300,19.9,0.979
6,48,3.579,-0.500,0.247,28.3,57480,20.0,0.882
6,49,3.551,-0.500,0.222,28.1,57660,20.1,0.786
6,50,3.523,-0.500,0.197,27.9,57840,20.2,0.692
6,51,3.495,-0.500,0.172,27.7,58020,20.3,0.599
6,52,3.467,-0.500,0.147,27.5,58200,20.4,0.508
6,53,3.439,-0.500,0.122,27.3,58380,20.5,0.418
6,54,3.411,-0.500,0.097,27.1,58560,20.6,0.330
6,55,3.383,-0.500,0.072,26.9,58740,20.7,0.243
6,56,3.355,-0.500,0.047,26.7,58920,20.8,0.158
6,57,3.327,-0.500,0.022,26.5,59100,20.9,0.074
6,58,3.299,-0.500,0.000,26.3,59280,21.0,0.000
6,59,3.200,0.000,0.000,26.1,59340,21.1,0.000
7,1,3.200,0.500,0.000,25.8,59400,15.8,0.000
7,2,3.233,0.500,0.025,26.0,59580,15.9,0.081
7,3,3.266,0.500,0.050,26.2,59760,16.0,0.163
7,4,3.298,0.500,0.075,26.4,59940,16.1,0.247
7,5,3.330,0.500,0.100,26.6,60120,16.2,0.333
7,6,3.361,0.500,0.125,26.8,60300,16.3,0.420
7,7,3.392,0.500,0.150,27.0,60480,16.4,0.509
7,8,3.422,0.500,0.175,27.2,60660,16.5,0.599
7,9,3.452,0.500,0.200,27.4,60840,16.6,0.690
7,10,3.481,0.500,0.225,27.6,61020,16.7,0.783
7,11,3.510,0.500,0.250,27.8,61200,16.8,0.877
7,12,3.538,0.500,0.275,28.0,61380,16.9,0.972
7,13,3.565,0.500,0.300,28.2,61560,17.0,1.069
7,14,3.591,0.500,0.325,28.4,61740,17.1,1.167
7,15,3.616,0.500,0.350,28.6,61920,17.2,1.266
7,16,3.640,0.500,0.375,28.8,62100,17.3,1.365
7,17,3.663,0.500,0.400,29.0,62280,17.4,1.465
7,18,3.685,0.500,0.425,29.2,62460,17.5,1.566
7,19,3.706,0.500,0.450,29.4,62640,17.6,1.668
7,20,3.726,0.500,0.475,29.6,62820,17.7,1.770
7,21,3.745,0.500,0.500,29.8,63000,17.8,1.872
7,22,3.763,0.450,0.512,30.0,63180,17.9,1.929
7,23,3.780,0.400,0.524,30.2,63360,18.0,1.984
7,24,3.796,0.350,0.535,30.4,63540,18.1,2.035
7,25,3.811,0.300,0.545,30.6,63720,18.2,2.080
7,26,3.825,0.250,0.553,30.8,63900,18.3,2.118
7,27,3.838,0.200,0.559,31.0,64080,18.4,2.149
7,28,3.850,0.150,0.563,31.2,64260,18.5,2.173
7,29,3.861,0.100,0.566,31.4,64440,18.6,2.190
7,30,3.871,0.050,0.568,31.6,64620,18.7,2.201
7,31,3.880,0.000,0.569,31.8,64800,18.8,2.205
7,32,3.875,0.000,0.569,31.6,64860,18.8,2.205
7,33,3.870,0.000,0.569,31.4,64920,18.8,2.205
7,34,3.865,0.000,0.569,31.2,64980,18.8,2.205
7,35,3.860,0.000,0.569,31.0,65040,18.8,2.205
7,36,3.855,-0.500,0.544,30.8,65220,18.9,2.110
7,37,3.827,-0.500,0.519,30.6,65400,19.0,2.001
7,38,3.799,-0.500,0.494,30.4,65580,19.1,1.893
7,39,3.771,-0.500,0.469,30.2,65760,19.2,1.786
7,40,3.743,-0.500,0.444,30.0,65940,19.3,1.681
7,41,3.715,-0.500,0.419,29.8,66120,19.4,1.577
7,42,3.687,-0.500,0.394,29.6,66300,19.5,1.474
7,43,3.659,-0.500,0.369,29.4,66480,19.6,1.373
7,44,3.631,-0.500,0.344,29.2,66660,19.7,1.273
7,45,3.603,-0.500,0.319,29.0,66840,19.8,1.175
7,46,3.575,-0.500,0.294,28.8,67020,19.9,1.078
7,47,3.547,-0.500,0.269,28.6,67200,20.0,0.982
7,48,3.519,-0.500,0.244,28.4,67380,20.1,0.888
7,49,3.491,-0.500,0.219,28.2,67560,20.2,0.795
7,50,3.463,-0.500,0.194,28.0,67740,20.3,0.704
7,51,3.435,-0.500,0.169,27.8,67920,20.4,0.614
7,52,3.407,-0.500,0.144,27.6,68100,20.5,0.526
7,53,3.379,-0.500,0.119,27.4,68280,20.6,0.439
7,54,3.351,-0.500,0.094,27.2,68460,20.7,0.354
7,55,3.323,-0.500,0.069,27.0,68640,20.8,0.270
7,56,3.295,-0.500,0.044,26.8,68820,20.9,0.188
7,57,3.267,-0.500,0.019,26.6,69000,21.0,0.108
7,58,3.239,-0.500,0.000,26.4,69180,21.1,0.000
7,59,3.200,0.000,0.000,26.2,69240,21.2,0.000
8,1,3.200,0.500,0.000,25.9,69300,15.9,0.000
8,2,3.231,0.500,0.025,26.1,69480,16.0,0.081
8,3,3.262,0.500,0.050,26.3,69660,16.1,0.163
8,4,3.292,0.500,0.075,26.5,69840,16.2,0.246
8,5,3.322,0.500,0.100,26.7,70020,16.3,0.332
8,6,3.351,0.500,0.125,26.9,70200,16.4,0.419
8,7,3.380,0.500,0.150,27.1,70380,16.5,0.507
8,8,3.408,0.500,0.175,27.3,70560,16.6,0.597
8,9,3.436,0.500,0.200,27.5,70740,16.7,0.687
8,10,3.463,0.500,0.225,27.7,70920,16.8,0.779
8,11,3.490,0.500,0.250,27.9,71100,16.9,0.872
8,12,3.516,0.500,0.275,28.1,71280,17.0,0.966
8,13,3.541,0.500,0.300,28.3,71460,17.1,1.062
8,14,3.565,0.500,0.325,28.5,71640,17.2,1.158
8,15,3.588,0.500,0.350,28.7,71820,17.3,1.256
8,16,3.610,0.500,0.375,28.9,72000,17.4,1.354
8,17,3.631,0.500,0.400,29.1,72180,17.5,1.452
8,18,3.651,0.500,0.425,29.3,72360,17.6,1.552
8,19,3.670,0.500,0.450,29.5,72540,17.7,1.651
8,20,3.688,0.500,0.475,29.7,72720,17.8,1.752
8,21,3.705,0.500,0.500,29.9,72900,17.9,1.852
8,22,3.721,0.450,0.511,30.1,73080,18.0,1.907
8,23,3.736,0.400,0.522,30.3,73260,18.1,1.959
8,24,3.750,0.350,0.532,30.5,73440,18.2,2.008
8,25,3.763,0.300,0.541,30.7,73620,18.3,2.052
8,26,3.775,0.250,0.549,30.9,73800,18.4,2.089
8,27,3.786,0.200,0.555,31.1,73980,18.5,2.120
8,28,3.796,0.150,0.559,31.3,74160,18.6,2.143
8,29,3.805,0.100,0.562,31.5,74340,18.7,2.160
